# Time (s),Q1 (%),T1 Setpoint (°C),T1 (°C),Q2 (%),T2 Setpoint (°C),T2 (°C)
2.014999999999999858e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.223869999999999791e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.256099999999999994e+01
2.123999999999999844e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.256099999999999994e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.256099999999999994e+01
2.203999999999999915e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.288329999999999842e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.288329999999999842e+01
2.326000000000000156e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.320559999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.320559999999999690e+01
2.421000000000000085e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.320559999999999690e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.320559999999999690e+01
2.521999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.352789999999999893e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.352789999999999893e+01
2.621999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.385019999999999740e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.352789999999999893e+01
2.707000000000000028e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.417249999999999943e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.352789999999999893e+01
2.803000000000000114e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.449479999999999791e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.385019999999999740e+01
2.926999999999999957e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.449479999999999791e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.417249999999999943e+01
3.021000000000000085e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.481709999999999638e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.417249999999999943e+01
3.110999999999999943e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.546169999999999689e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.449479999999999791e+01
3.222999999999999687e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.546169999999999689e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.449479999999999791e+01
3.311999999999999744e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.578399999999999892e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.481709999999999638e+01
3.422999999999999687e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.610629999999999740e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.481709999999999638e+01
3.503999999999999915e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.642859999999999943e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.513939999999999841e+01
3.624000000000000199e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.675089999999999790e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.546169999999999689e+01
3.720000000000000284e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.707319999999999638e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.546169999999999689e+01
3.815999999999999659e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.739549999999999841e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.578399999999999892e+01
3.915999999999999659e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.771779999999999688e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.578399999999999892e+01
4.021999999999999886e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.804009999999999891e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.610629999999999740e+01
4.100999999999999801e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.836239999999999739e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.610629999999999740e+01
4.209000000000000341e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.868469999999999942e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.642859999999999943e+01
4.307000000000000028e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.900699999999999790e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.675089999999999790e+01
4.424000000000000199e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.932929999999999637e+01,1.000000000000000000e+02,4.000000000000000000e+01,2.675089999999999790e+01
